,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
443,Basco,PH,79.86,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
445,Cockburn Town,TC,82.83,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
446,Penalva,BR,78.93,scattered clouds,-3.2942,-45.1736,Hotel São José
450,Miracema Do Tocantins,BR,85.62,scattered clouds,-9.5618,-48.3967,Miami Apart Hotel
459,Trairi,BR,80.06,clear sky,-3.2778,-39.2689,janelas do mar
462,Noumea,NC,80.58,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
466,Sola,VU,78.48,light rain,-13.8833,167.55,Leumerus Bungalows
468,Lucea,JM,79.86,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
475,Alibag,IN,80.67,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
480,Bubaque,GW,82.31,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
490,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
493,Norsup,VU,82.36,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
500,Papara,BR,81.0,clear sky,-3.9839,-38.7273,Romin
503,Neiafu,TO,81.28,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
505,Gao,ML,84.18,clear sky,16.6362,1.637,
507,Jardim,BR,81.32,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
510,Passagem Franca,BR,83.82,broken clouds,-6.1797,-43.7836,Hotel Brasil
513,Mareeba,AU,83.48,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
515,Tadine,NC,78.06,few clouds,-21.55,167.8833,
522,Samarai,PG,83.07,overcast clouds,-10.6167,150.6667,Nuli Sapi
523,Yulara,AU,83.91,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
524,Madang,PG,82.17,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
525,The Valley,AI,82.26,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
527,Araguacu,BR,83.46,broken clouds,-12.9306,-49.8264,Hotel Tocantins
534,Clarence Town,AU,85.06,broken clouds,-32.5833,151.7833,River Downs Cottage
539,Nelson Bay,AU,82.29,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
546,Waingapu,ID,83.07,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
551,Tautira,PF,84.22,moderate rain,-17.7333,-149.15,Pension Oaoa
553,Rabaul,PG,84.9,scattered clouds,-4.1967,152.1721,Rabaul Hotel
554,Santiago Del Estero,AR,84.81,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
555,Voh,NC,84.25,clear sky,-20.9667,164.7,Le gîte du Koniambo
559,Rock Sound,BS,81.39,clear sky,24.9,-76.2,Rock Sound Club
565,Saint-Georges,GD,80.06,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
568,Benjamin Aceval,PY,84.34,few clouds,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
570,Keti Bandar,PK,78.21,clear sky,24.1447,67.4497,Haji laloo memon house
572,Porto Novo,BJ,78.44,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
577,Berbera,SO,80.42,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
578,Mopti,ML,89.78,clear sky,14.6667,-4.0,
582,Kudahuvadhoo,MV,81.34,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
587,Sorong,ID,81.79,broken clouds,-0.8833,131.25,waigo splash hotel
589,Newcastle,AU,84.92,light rain,-32.9272,151.7765,NOAH'S on the beach
595,Banjar,ID,78.66,scattered clouds,-8.19,114.9675,The Hamsa Resort
596,Dosso,NE,85.21,clear sky,13.049,3.1937,Hotel Toubal
599,Port Augusta,AU,84.7,clear sky,-32.5,137.7667,Majestic Oasis Apartments
600,Kokopo,PG,85.39,scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
609,Guerrero Negro,MX,78.57,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
612,Puerto Cabezas,NI,80.46,broken clouds,14.0351,-83.3888,Cabaña Caribe
619,Cayenne,GF,82.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
620,San Martin,AR,83.79,broken clouds,-33.081,-68.4681,Club El Pelícano
622,Porto Walter,BR,81.68,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
627,Dunmore Town,BS,81.34,scattered clouds,25.5,-76.65,Coral Sands Hotel
629,Makakilo City,US,86.32,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
630,Livingstone,ZM,78.22,scattered clouds,-17.8419,25.8543,Gloria's Bed and Breakfast
633,Sinnamary,GF,78.44,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
637,Moron,AR,84.99,clear sky,-34.6534,-58.6198,Hotel Morón
645,Takoradi,GH,78.57,few clouds,4.8845,-1.7554,Raybow International Hotel
647,Balabac,PH,82.29,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
648,Lorengau,PG,83.23,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
650,Mitsamiouli,KM,78.21,clear sky,-11.3847,43.2844,Foyer ADM
651,Morant Bay,JM,80.62,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
652,Bundaberg,AU,84.22,scattered clouds,-24.85,152.35,Takalvan Motel
660,Puerto Penasco,MX,81.91,clear sky,31.3167,-113.5333,Playa Bonita Resort
669,Dwarka,IN,80.69,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
